Año ,Mes,Dia ,Hora,Velocidad ,Direccion  
2016,9,29,16,3.6,223
2016,9,29,17,3.68,252
2016,9,29,18,3.34,256
2016,9,29,19,3.5,78
2016,9,29,20,3.83,264
2016,9,29,21,3.4,36
2016,9,29,22,3.88,273
2016,9,29,23,3.27,34
2016,9,29,24,3.13,52
2016,9,30,1,2.11,245
2016,9,30,2,3.58,30
2016,9,30,3,3.2,217
2016,9,30,4,3.4,80
2016,9,30,5,3.46,51
2016,9,30,6,3.89,35
2016,9,30,7,4.03,21
2016,9,30,8,4.26,220
2016,9,30,9,4,43
2016,9,30,10,3.52,91
2016,9,30,11,3.82,337
2016,9,30,12,3.16,69
2016,9,30,13,4.16,234
2016,9,30,14,4.33,49
2016,9,30,15,3.88,10
2016,9,30,16,3.81,64
2016,9,30,17,4.14,37
2016,9,30,18,3.89,241
2016,9,30,19,3.23,36
2016,9,30,20,3.06,64
2016,9,30,21,4.04,52
2016,9,30,22,3.3,41
2016,9,30,23,2.89,87
2016,9,30,24,3.57,35
2016,9,31,1,3.76,49
2016,9,31,2,4.34,9
